sample_id,status,vol_rel,hausdorff,xi_l2,p_value,p_pc,p_xi,z_hausdorff,z_chamfer,code_success,code_error_type,code_error_msg,generated_path,truth_path,error
20251218_033650_brass_spacer_tube_v1,code_error,,,,,,,,,False,TypeError,Workplane.workplane() got an unexpected keyword argument 'center',generated/gemma-3-27b-it/20251218_033650_brass_spacer_tube_v1.py,data/models/20251218_033650_brass_spacer_tube_v1.py,
20251218_033651_dowel_pin_brass_v1,ok,0.2772908200111024,19.72941965694886,13.386791621628134,0.0,0.0,0.0,19729419.65694886,386451005.6450822,True,,,generated/gemma-3-27b-it/20251218_033651_dowel_pin_brass_v1.py,data/models/20251218_033651_dowel_pin_brass_v1.py,
20251218_033652_grip_handle_spacer_v1,code_error,,,,,,,,,False,ValueError,Null TopoDS_Shape object,generated/gemma-3-27b-it/20251218_033652_grip_handle_spacer_v1.py,data/models/20251218_033652_grip_handle_spacer_v1.py,
20251218_033652_hook_bracket_v1,ok,2.1505953264087836,27.49545416973504,180.19716504861535,0.0,0.0,0.0,27495454.16973504,947741170.527651,True,,,generated/gemma-3-27b-it/20251218_033652_hook_bracket_v1.py,data/models/20251218_033652_hook_bracket_v1.py,
20251218_033654__sliding_joint_v1,ok,0.4269477198538299,7.0710678118654755,11.230693841532998,0.0,0.0,0.0,7071067.811865476,24118226.10083714,True,,,generated/gemma-3-27b-it/20251218_033654__sliding_joint_v1.py,data/models/20251218_033654__sliding_joint_v1.py,
20251218_033654_box_with_fillet_v1,ok,0.009022419348556307,5.0,12.237219517558122,0.0,0.0,0.0,5000000.0,16443022.069458,True,,,generated/gemma-3-27b-it/20251218_033654_box_with_fillet_v1.py,data/models/20251218_033654_box_with_fillet_v1.py,
20251218_033654_cube_with_beveled_corners_v1,ok,0.057827926657263974,7.0710678118654755,6.53074053992296,0.0,0.0,0.0,7071067.811865476,100000000.00000001,True,,,generated/gemma-3-27b-it/20251218_033654_cube_with_beveled_corners_v1.py,data/models/20251218_033654_cube_with_beveled_corners_v1.py,
20251218_033655_pyramid_with_rounded_base_v1,code_error,,,,,,,,,False,TypeError,Workplane.polygon() got an unexpected keyword argument 'points',generated/gemma-3-27b-it/20251218_033655_pyramid_with_rounded_base_v1.py,data/models/20251218_033655_pyramid_with_rounded_base_v1.py,
20251218_033656__equipment_hanger_bracket_v1,ok,1.0883636909837477,56.06692429588055,26.221610286236842,0.0,0.0,0.0,56066924.29588055,2349132806.999603,True,,,generated/gemma-3-27b-it/20251218_033656__equipment_hanger_bracket_v1.py,data/models/20251218_033656__equipment_hanger_bracket_v1.py,
20251218_033656_hexagonal_washer_v1,ok,0.5724042005288812,4.82337007460842,29.49854001308478,0.0,0.0,0.0,4823370.07460842,12215971.37584849,True,,,generated/gemma-3-27b-it/20251218_033656_hexagonal_washer_v1.py,data/models/20251218_033656_hexagonal_washer_v1.py,
20251218_033656_hollow_cube_v1,ok,1.7777777777777775,9.433981132056607,12.432696567949822,0.0,0.0,0.0,9433981.132056607,42065598.001438715,True,,,generated/gemma-3-27b-it/20251218_033656_hollow_cube_v1.py,data/models/20251218_033656_hollow_cube_v1.py,
20251218_033656_keyed_reduced_shaft_v1,ok,0.2895504517076569,25.861798671838812,17.768867499282425,0.0,0.0,0.0,25861798.671838813,403011456.05696607,True,,,generated/gemma-3-27b-it/20251218_033656_keyed_reduced_shaft_v1.py,data/models/20251218_033656_keyed_reduced_shaft_v1.py,
20251218_033657__panel_v1,code_error,,,,,,,,,False,ValueError,Null TopoDS_Shape object,generated/gemma-3-27b-it/20251218_033657__panel_v1.py,data/models/20251218_033657__panel_v1.py,
20251218_033657__quick_coupler_v1,code_error,,,,,,,,,False,TypeError,unsupported operand type(s) for +: 'Assembly' and 'Assembly',generated/gemma-3-27b-it/20251218_033657__quick_coupler_v1.py,data/models/20251218_033657__quick_coupler_v1.py,
20251218_033657_beveled_thick_wall_tube_v1,ok,0.215910398282038,27.88872142197165,23.43890355041528,0.0,0.0,0.0,27888721.42197165,1170843431.8899646,True,,,generated/gemma-3-27b-it/20251218_033657_beveled_thick_wall_tube_v1.py,data/models/20251218_033657_beveled_thick_wall_tube_v1.py,
20251218_033657_plastic_lever_mount_v1,ok,0.16133513534375762,17.979154596365202,105.47371665859343,0.0,0.0,0.0,17979154.596365202,95158723.63104141,True,,,generated/gemma-3-27b-it/20251218_033657_plastic_lever_mount_v1.py,data/models/20251218_033657_plastic_lever_mount_v1.py,
20251218_033658__mounting_v1,code_error,,,,,,,,,False,TypeError,SetFuzzyValue(): incompatible function arguments. The following argument types are supported:,generated/gemma-3-27b-it/20251218_033658__mounting_v1.py,data/models/20251218_033658__mounting_v1.py,
20251218_033658__truncated_sphere_with_notch_v1,ok,0.33000263329390933,50.94407592704346,107.76023440765816,0.0,0.0,0.0,50944075.92704346,2862934825.8203664,True,,,generated/gemma-3-27b-it/20251218_033658__truncated_sphere_with_notch_v1.py,data/models/20251218_033658__truncated_sphere_with_notch_v1.py,
20251218_033658_bracket_fitting_v1,ok,0.006546655971163774,4.47213595499958,60.543519739771,0.0,0.0,0.0,4472135.95499958,13031022.14732114,True,,,generated/gemma-3-27b-it/20251218_033658_bracket_fitting_v1.py,data/models/20251218_033658_bracket_fitting_v1.py,
20251218_033659__t_handle_lever_v1,code_error,,,,,,,,,False,TypeError,Workplane.workplane() got an unexpected keyword argument 'at',generated/gemma-3-27b-it/20251218_033659__t_handle_lever_v1.py,data/models/20251218_033659__t_handle_lever_v1.py,
20251218_033659_rounded_edge_prism_v1,code_error,,,,,,,,,False,ValueError,Null TopoDS_Shape object,generated/gemma-3-27b-it/20251218_033659_rounded_edge_prism_v1.py,data/models/20251218_033659_rounded_edge_prism_v1.py,
20251218_033659_rubber_plate_v1,code_error,,,,,,,,,False,ValueError,Null TopoDS_Shape object,generated/gemma-3-27b-it/20251218_033659_rubber_plate_v1.py,data/models/20251218_033659_rubber_plate_v1.py,
20251218_033659_slotted_bushing_v1,ok,0.7444216404810243,15.303481111783546,16.741280763818867,0.0,0.0,0.0,15303481.111783545,38673935.59409259,True,,,generated/gemma-3-27b-it/20251218_033659_slotted_bushing_v1.py,data/models/20251218_033659_slotted_bushing_v1.py,
20251218_033659_square_spaced_plate_v1,code_error,,,,,,,,,False,ValueError,No pending wires present,generated/gemma-3-27b-it/20251218_033659_square_spaced_plate_v1.py,data/models/20251218_033659_square_spaced_plate_v1.py,
20251218_033659_standoff_spacer_type_v1,ok,4.156353152121603,9.521457996788516,62.98150853075211,0.0,0.0,0.0,9521457.996788517,62451867.34470805,True,,,generated/gemma-3-27b-it/20251218_033659_standoff_spacer_type_v1.py,data/models/20251218_033659_standoff_spacer_type_v1.py,
20251218_033700__box_with_gro_v1,ok,0.16988602237560965,21.01897422918886,30.24400692708238,0.0,0.0,0.0,21018974.22918886,262629705.9456647,True,,,generated/gemma-3-27b-it/20251218_033700__box_with_gro_v1.py,data/models/20251218_033700__box_with_gro_v1.py,
20251218_033700__wall_bracket_with_gusset_v1,code_error,,,,,,,,,False,ValueError,Cannot find a solid on the stack or in the parent chain,generated/gemma-3-27b-it/20251218_033700__wall_bracket_with_gusset_v1.py,data/models/20251218_033700__wall_bracket_with_gusset_v1.py,
20251218_033700_brass_threaded_orifice_flange_v1,ok,0.9952144349462113,65.0505837107461,99.85243127050255,0.0,0.0,0.0,65050583.7107461,2141380058.8693957,True,,,generated/gemma-3-27b-it/20251218_033700_brass_threaded_orifice_flange_v1.py,data/models/20251218_033700_brass_threaded_orifice_flange_v1.py,
20251218_033700_vented_split_v1,ok,0.4241275336747369,17.582377541163197,206.85506639521424,0.0,0.0,0.0,17582377.5411632,313826984.9776462,True,,,generated/gemma-3-27b-it/20251218_033700_vented_split_v1.py,data/models/20251218_033700_vented_split_v1.py,
20251218_033701_base_plate_with_slots_v1,code_error,,,,,,,,,False,TypeError,Workplane.workplane() got an unexpected keyword argument 'center',generated/gemma-3-27b-it/20251218_033701_base_plate_with_slots_v1.py,data/models/20251218_033701_base_plate_with_slots_v1.py,
20251218_033701_hollow_torus_v1,code_error,,,,,,,,,False,SyntaxError,"unexpected EOF while parsing (<string>, line 1)",generated/gemma-3-27b-it/20251218_033701_hollow_torus_v1.py,data/models/20251218_033701_hollow_torus_v1.py,
20251218_033701_step_pulley_with_keyway_v1,ok,8.500296199102454,85.41808941904519,24.434960581798123,0.0,0.0,0.0,85418089.4190452,6565590530.258324,True,,,generated/gemma-3-27b-it/20251218_033701_step_pulley_with_keyway_v1.py,data/models/20251218_033701_step_pulley_with_keyway_v1.py,
20251218_033701_thick_spacer_v1,ok,0.5617494008627857,8.039900496896713,9.193733202185543,0.0,0.0,0.0,8039900.496896714,19721635.997713342,True,,,generated/gemma-3-27b-it/20251218_033701_thick_spacer_v1.py,data/models/20251218_033701_thick_spacer_v1.py,
